#score	name1	strand1	size1	zstart1	end1	name2	strand2	size2	zstart2	end2	identity	idPct	coverage	covPct
8.150880e+05	chr22	+	51304566	16063416	16072708	chr22-14440001-14450000	+	10000	898	10000	8868/9031	98.2%	9102/10000	91.0%
8.046400e+05	chr22	+	51304566	16073561	16082610	chr22-14450001-14460000	+	10000	919	10000	8763/8987	97.5%	9081/10000	90.8%
5.911360e+05	chr22	+	51304566	16084855	16091820	chr22-14460001-14470000	+	10000	2462	10000	6646/6932	95.9%	7538/10000	75.4%
1.512490e+05	chr22	+	51304566	16085335	16091784	chr22-14460001-14470000	+	10000	3134	10000	4089/6050	67.6%	6866/10000	68.7%
1.027250e+05	chr22	+	51304566	16085355	16091857	chr22-14460001-14470000	+	10000	2951	10000	3852/5936	64.9%	7049/10000	70.5%
8.198800e+04	chr22	+	51304566	16086095	16090964	chr22-14460001-14470000	+	10000	3956	9208	2942/4625	63.6%	5252/10000	52.5%
8.717800e+04	chr22	+	51304566	16086097	16091766	chr22-14460001-14470000	+	10000	4501	10000	3241/5056	64.1%	5499/10000	55.0%
9.518600e+04	chr22	+	51304566	16086351	16092419	chr22-14460001-14470000	+	10000	3700	10000	3554/5531	64.3%	6300/10000	63.0%
7.808900e+04	chr22	+	51304566	16086967	16093412	chr22-14460001-14470000	+	10000	3699	10000	3598/5609	64.1%	6301/10000	63.0%
7.199300e+04	chr22	+	51304566	16087042	16093612	chr22-14460001-14470000	+	10000	3702	10000	3577/5699	62.8%	6298/10000	63.0%
3.952500e+04	chr22	+	51304566	16459645	16465283	chr22-14460001-14470000	+	10000	4720	10000	2972/4794	62.0%	5280/10000	52.8%
4.682660e+05	chr22	+	51304566	16460101	16466881	chr22-14460001-14470000	+	10000	2672	10000	5917/6580	89.9%	7328/10000	73.3%
1.360950e+05	chr22	+	51304566	16460369	16466552	chr22-14460001-14470000	+	10000	3151	10000	3949/5857	67.4%	6849/10000	68.5%
9.662900e+04	chr22	+	51304566	16460572	16465748	chr22-14460001-14470000	+	10000	2954	8527	3194/4870	65.6%	5573/10000	55.7%
8.234400e+04	chr22	+	51304566	16461115	16466413	chr22-14460001-14470000	+	10000	3956	10000	3258/5079	64.1%	6044/10000	60.4%
7.930300e+04	chr22	+	51304566	16461117	16466391	chr22-14460001-14470000	+	10000	4501	10000	3124/4852	64.4%	5499/10000	55.0%
8.815600e+04	chr22	+	51304566	16085521	16091155	chr22-14460001-14470000	-	10000	0	5925	3294/5132	64.2%	5925/10000	59.2%
8.919300e+04	chr22	+	51304566	16086081	16092237	chr22-14460001-14470000	-	10000	0	6276	3563/5519	64.6%	6276/10000	62.8%
8.347400e+04	chr22	+	51304566	16086096	16090706	chr22-14460001-14470000	-	10000	1155	6267	2861/4451	64.3%	5112/10000	51.1%
8.835500e+04	chr22	+	51304566	16086137	16092423	chr22-14460001-14470000	-	10000	0	6262	3571/5640	63.3%	6262/10000	62.6%
1.070500e+05	chr22	+	51304566	16086266	16092823	chr22-14460001-14470000	-	10000	0	6313	3741/5772	64.8%	6313/10000	63.1%
1.013460e+05	chr22	+	51304566	16086445	16093617	chr22-14460001-14470000	-	10000	0	6299	3858/5858	65.9%	6299/10000	63.0%
7.230900e+04	chr22	+	51304566	16086792	16093656	chr22-14460001-14470000	-	10000	0	6301	3642/5787	62.9%	6301/10000	63.0%
6.658900e+04	chr22	+	51304566	16086937	16093745	chr22-14460001-14470000	-	10000	0	6298	3635/5848	62.2%	6298/10000	63.0%
9.720500e+04	chr22	+	51304566	16087811	16094583	chr22-14460001-14470000	-	10000	0	6298	3785/5836	64.9%	6298/10000	63.0%
8.281500e+04	chr22	+	51304566	16461117	16465725	chr22-14460001-14470000	-	10000	1247	6267	2821/4438	63.6%	5020/10000	50.2%
5.319900e+04	chr22	+	51304566	16461957	16465857	chr22-14460001-14470000	-	10000	0	5197	2468/3682	67.0%	5197/10000	52.0%
